Year,Quarter,Time,RealGDP,TBillRate
1947,1,3/1/1947,1772.204,0.38
1947,2,6/1/1947,1769.486,0.38
1947,3,9/1/1947,1768.032,0.7366667
1947,4,12/1/1947,1794.842,0.9066667
1948,1,3/1/1948,1823.365,0.99
1948,2,6/1/1948,1856.930,1
1948,3,9/1/1948,1866.913,1.05
1948,4,12/1/1948,1869.779,1.14
1949,1,3/1/1949,1843.814,1.17
1949,2,6/1/1949,1837.080,1.17
1949,3,9/1/1949,1857.689,1.043333
1949,4,12/1/1949,1840.250,1.076667
1950,1,3/1/1950,1914.632,1.103333
1950,2,6/1/1950,1972.901,1.153333
1950,3,9/1/1950,2050.100,1.22
1950,4,12/1/1950,2086.170,1.336667
1951,1,3/1/1951,2112.534,1.366667
1951,2,6/1/1951,2147.579,1.49
1951,3,9/1/1951,2190.372,1.603333
1951,4,12/1/1951,2194.083,1.61
1952,1,3/1/1952,2216.159,1.566667
1952,2,6/1/1952,2218.603,1.646667
1952,3,9/1/1952,2233.467,1.783333
1952,4,12/1/1952,2307.245,1.893333
1953,1,3/1/1953,2350.414,1.98
1953,2,6/1/1953,2368.201,2.153333
1953,3,9/1/1953,2353.802,1.956667
1953,4,12/1/1953,2316.544,1.473333
1954,1,3/1/1954,2305.491,1.06
1954,2,6/1/1954,2308.383,0.79
1954,3,9/1/1954,2334.410,0.8833333
1954,4,12/1/1954,2381.157,1.02
1955,1,3/1/1955,2449.748,1.223333
1955,2,6/1/1955,2490.274,1.483333
1955,3,9/1/1955,2523.548,1.856667
1955,4,12/1/1955,2537.637,2.336667
1956,1,3/1/1956,2526.058,2.326667
1956,2,6/1/1956,2545.925,2.566667
1956,3,9/1/1956,2542.725,2.583333
1956,4,12/1/1956,2584.276,3.033333
1957,1,3/1/1957,2600.158,3.096667
1957,2,6/1/1957,2593.885,3.14
1957,3,9/1/1957,2618.873,3.353333
1957,4,12/1/1957,2591.321,3.31
1958,1,3/1/1958,2521.170,1.756667
1958,2,6/1/1958,2536.645,0.9566667
1958,3,9/1/1958,2596.083,1.68
1958,4,12/1/1958,2656.615,2.69
1959,1,3/1/1959,2710.349,2.773333
1959,2,6/1/1959,2778.801,3
1959,3,9/1/1959,2775.488,3.54
1959,4,12/1/1959,2785.204,4.23
1960,1,3/1/1960,2847.699,3.873333
1960,2,6/1/1960,2834.390,2.993333
1960,3,9/1/1960,2839.022,2.36
1960,4,12/1/1960,2802.616,2.306667
1961,1,3/1/1961,2819.264,2.35
1961,2,6/1/1961,2872.005,2.303333
1961,3,9/1/1961,2918.419,2.303333
1961,4,12/1/1961,2977.830,2.46
1962,1,3/1/1962,3031.241,2.723333
1962,2,6/1/1962,3064.709,2.716667
1962,3,9/1/1962,3093.047,2.84
1962,4,12/1/1962,3100.563,2.813333
1963,1,3/1/1963,3141.087,2.906667
1963,2,6/1/1963,3180.447,2.94
1963,3,9/1/1963,3240.332,3.293333
1963,4,12/1/1963,3264.967,3.496667
1964,1,3/1/1964,3338.246,3.53
1964,2,6/1/1964,3376.587,3.476667
1964,3,9/1/1964,3422.469,3.496667
1964,4,12/1/1964,3431.957,3.683333
1965,1,3/1/1965,3516.251,3.89
1965,2,6/1/1965,3563.960,3.873333
1965,3,9/1/1965,3636.285,3.866667
1965,4,12/1/1965,3724.014,4.166667
1966,1,3/1/1966,3815.423,4.61
1966,2,6/1/1966,3828.124,4.586667
1966,3,9/1/1966,3853.301,5.043333
1966,4,12/1/1966,3884.520,5.21
1967,1,3/1/1967,3918.740,4.513333
1967,2,6/1/1967,3919.556,3.66
1967,3,9/1/1967,3950.826,4.3
1967,4,12/1/1967,3980.970,4.753333
1968,1,3/1/1968,4063.013,5.05
1968,2,6/1/1968,4131.998,5.52
1968,3,9/1/1968,4160.267,5.196667
1968,4,12/1/1968,4178.293,5.586667
1969,1,3/1/1969,4244.100,6.093333
1969,2,6/1/1969,4256.460,6.196667
1969,3,9/1/1969,4283.378,7.023333
1969,4,12/1/1969,4263.261,7.353333
1970,1,3/1/1970,4256.573,7.21
1970,2,6/1/1970,4264.289,6.676667
1970,3,9/1/1970,4302.259,6.326667
1970,4,12/1/1970,4256.637,5.353333
1971,1,3/1/1971,4374.016,3.84
1971,2,6/1/1971,4398.829,4.25
1971,3,9/1/1971,4433.943,5.01
1971,4,12/1/1971,4446.264,4.23
1972,1,3/1/1972,4525.769,3.436667
1972,2,6/1/1972,4633.101,3.77
1972,3,9/1/1972,4677.503,4.22
1972,4,12/1/1972,4754.546,4.863333
1973,1,3/1/1973,4876.166,5.7
1973,2,6/1/1973,4932.571,6.603333
1973,3,9/1/1973,4906.252,8.323333
1973,4,12/1/1973,4953.050,7.5
1974,1,3/1/1974,4909.617,7.616667
1974,2,6/1/1974,4922.188,8.153333
1974,3,9/1/1974,4873.520,8.19
1974,4,12/1/1974,4854.340,7.36
1975,1,3/1/1975,4795.295,5.75
1975,2,6/1/1975,4831.942,5.393333
1975,3,9/1/1975,4913.328,6.33
1975,4,12/1/1975,4977.511,5.626667
1976,1,3/1/1976,5090.663,4.916667
1976,2,6/1/1976,5128.947,5.156667
1976,3,9/1/1976,5154.072,5.15
1976,4,12/1/1976,5191.499,4.673333
1977,1,3/1/1977,5251.762,4.63
1977,2,6/1/1977,5356.131,4.84
1977,3,9/1/1977,5451.921,5.496667
1977,4,12/1/1977,5450.793,6.11
1978,1,3/1/1978,5469.405,6.393333
1978,2,6/1/1978,5684.569,6.476667
1978,3,9/1/1978,5740.300,7.313333
1978,4,12/1/1978,5816.222,8.57
1979,1,3/1/1979,5825.949,9.383333
1979,2,6/1/1979,5831.418,9.376667
1979,3,9/1/1979,5873.335,9.673333
1979,4,12/1/1979,5889.495,11.84333
1980,1,3/1/1980,5908.467,13.35333
1980,2,6/1/1980,5787.373,9.616667
1980,3,9/1/1980,5776.617,9.153333
1980,4,12/1/1980,5883.460,13.61333
1981,1,3/1/1981,6005.717,14.39
1981,2,6/1/1981,5957.795,14.90667
1981,3,9/1/1981,6030.184,15.05333
1981,4,12/1/1981,5955.062,11.75
1982,1,3/1/1982,5857.333,12.81333
1982,2,6/1/1982,5889.074,12.42
1982,3,9/1/1982,5866.370,9.316667
1982,4,12/1/1982,5871.001,7.906667
1983,1,3/1/1983,5944.020,8.106667
1983,2,6/1/1983,6077.619,8.396667
1983,3,9/1/1983,6197.468,9.14
1983,4,12/1/1983,6325.574,8.8
1984,1,3/1/1984,6448.264,9.17
1984,2,6/1/1984,6559.594,9.796667
1984,3,9/1/1984,6623.343,10.32
1984,4,12/1/1984,6677.264,8.803333
1985,1,3/1/1985,6740.275,8.183333
1985,2,6/1/1985,6797.344,7.46
1985,3,9/1/1985,6903.523,7.106667
1985,4,12/1/1985,6955.918,7.166667
1986,1,3/1/1986,7022.757,6.896667
1986,2,6/1/1986,7050.969,6.14
1986,3,9/1/1986,7118.950,5.523333
1986,4,12/1/1986,7153.359,5.353333
1987,1,3/1/1987,7193.019,5.536667
1987,2,6/1/1987,7269.510,5.656667
1987,3,9/1/1987,7332.558,6.043333
1987,4,12/1/1987,7458.022,5.863333
1988,1,3/1/1988,7496.600,5.723333
1988,2,6/1/1988,7592.881,6.21
1988,3,9/1/1988,7632.082,7.01
1988,4,12/1/1988,7733.991,7.726667
1989,1,3/1/1989,7806.603,8.54
1989,2,6/1/1989,7865.016,8.41
1989,3,9/1/1989,7927.393,7.843333
1989,4,12/1/1989,7944.697,7.653333
1990,1,3/1/1990,8027.693,7.76
1990,2,6/1/1990,8059.598,7.746667
1990,3,9/1/1990,8059.476,7.476667
1990,4,12/1/1990,7988.864,6.99
1991,1,3/1/1991,7950.164,6.023333
1991,2,6/1/1991,8003.822,5.56
1991,3,9/1/1991,8037.538,5.376667
1991,4,12/1/1991,8069.046,4.54
1992,1,3/1/1992,8157.616,3.893333
1992,2,6/1/1992,8244.294,3.68
1992,3,9/1/1992,8329.361,3.083333
1992,4,12/1/1992,8417.016,3.07
1993,1,3/1/1993,8432.485,2.96
1993,2,6/1/1993,8486.435,2.966667
1993,3,9/1/1993,8531.108,3.003333
1993,4,12/1/1993,8643.769,3.06
1994,1,3/1/1994,8727.919,3.243333
1994,2,6/1/1994,8847.303,3.986667
1994,3,9/1/1994,8904.289,4.476667
1994,4,12/1/1994,9003.180,5.28
1995,1,3/1/1995,9025.267,5.736667
1995,2,6/1/1995,9044.668,5.596667
1995,3,9/1/1995,9120.684,5.366667
1995,4,12/1/1995,9184.275,5.26
1996,1,3/1/1996,9247.188,4.93
1996,2,6/1/1996,9407.052,5.02
1996,3,9/1/1996,9488.879,5.096667
1996,4,12/1/1996,9592.458,4.976667
1997,1,3/1/1997,9666.235,5.06
1997,2,6/1/1997,9809.551,5.046667
1997,3,9/1/1997,9932.672,5.046667
1997,4,12/1/1997,10008.874,5.09
1998,1,3/1/1998,10103.425,5.053333
1998,2,6/1/1998,10194.277,4.976667
1998,3,9/1/1998,10328.787,4.823333
1998,4,12/1/1998,10507.575,4.253333
1999,1,3/1/1999,10601.179,4.406667
1999,2,6/1/1999,10684.049,4.453333
1999,3,9/1/1999,10819.914,4.65
1999,4,12/1/1999,11014.254,5.043333
2000,1,3/1/2000,11043.044,5.52
2000,2,6/1/2000,11258.454,5.713333
2000,3,9/1/2000,11267.867,6.016667
2000,4,12/1/2000,11334.544,6.016667
2001,1,3/1/2001,11297.171,4.816667
2001,2,6/1/2001,11371.251,3.66
2001,3,9/1/2001,11340.075,3.17
2001,4,12/1/2001,11380.128,1.906667
2002,1,3/1/2002,11477.868,1.723333
2002,2,6/1/2002,11538.770,1.716667
2002,3,9/1/2002,11596.430,1.643333
2002,4,12/1/2002,11598.824,1.333333
2003,1,3/1/2003,11645.819,1.156667
2003,2,6/1/2003,11738.706,1.04
2003,3,9/1/2003,11935.461,0.93
2003,4,12/1/2003,12042.817,0.9166667
2004,1,3/1/2004,12127.623,0.9166667
2004,2,6/1/2004,12213.818,1.076667
2004,3,9/1/2004,12303.533,1.486667
2004,4,12/1/2004,12410.282,2.006667
2005,1,3/1/2005,12534.113,2.536667
2005,2,6/1/2005,12587.535,2.863333
2005,3,9/1/2005,12683.153,3.36
2005,4,12/1/2005,12748.699,3.826667
2006,1,3/1/2006,12915.938,4.393333
2006,2,6/1/2006,12962.462,4.703333
2006,3,9/1/2006,12965.916,4.906667
2006,4,12/1/2006,13060.679,4.903333
2007,1,3/1/2007,13089.316,4.983333
2007,2,6/1/2007,13194.148,4.736667
2007,3,9/1/2007,13268.458,4.303333
2007,4,12/1/2007,13363.488,3.39
2008,1,3/1/2008,13339.175,2.043333
2008,2,6/1/2008,13359.046,1.626667
2008,3,9/1/2008,13223.507,1.493333
2008,4,12/1/2008,12993.665,0.2966667
2009,1,3/1/2009,12832.619,0.2133333
2009,2,6/1/2009,12810.012,0.1733333
2009,3,9/1/2009,12860.800,0.1566667
2009,4,12/1/2009,13019.012,0.05666667
